N, M, Iteration, Cells/sec, Time_sec
32,32,0,1.34914e+06,0.000759
32,32,1,2.30268e+06,0.0004447
32,32,2,3.27052e+06,0.0003131
32,32,3,920119,0.0011129
32,32,4,2.82249e+06,0.0003628
32,32,5,3.24359e+06,0.0003157
32,32,6,3.03587e+06,0.0003373
32,32,7,3.07046e+06,0.0003335
32,32,8,3.13725e+06,0.0003264
32,32,9,2.99854e+06,0.0003415
64,64,0,6.25439e+06,0.0006549
64,64,1,9.98051e+06,0.0004104
64,64,2,1.43518e+07,0.0002854
64,64,3,3.66762e+06,0.0011168
64,64,4,1.40998e+07,0.0002905
64,64,5,1.42025e+07,0.0002884
64,64,6,1.15543e+07,0.0003545
64,64,7,1.17803e+07,0.0003477
64,64,8,1.30612e+07,0.0003136
64,64,9,1.43518e+07,0.0002854
128,128,0,2.31904e+07,0.0007065
128,128,1,3.27157e+07,0.0005008
128,128,2,4.56761e+07,0.0003587
128,128,3,1.4013e+07,0.0011692
128,128,4,3.1411e+07,0.0005216
128,128,5,3.34983e+07,0.0004891
128,128,6,3.98541e+07,0.0004111
128,128,7,4.1228e+07,0.0003974
128,128,8,4.1426e+07,0.0003955
128,128,9,3.07046e+07,0.0005336
256,256,0,7.08957e+07,0.0009244
256,256,1,9.11108e+07,0.0007193
256,256,2,1.17343e+08,0.0005585
256,256,3,5.00695e+07,0.0013089
256,256,4,1.09537e+08,0.0005983
256,256,5,1.08773e+08,0.0006025
256,256,6,1.13071e+08,0.0005796
256,256,7,1.12721e+08,0.0005814
256,256,8,1.1046e+08,0.0005933
256,256,9,1.11741e+08,0.0005865
512,512,0,1.49917e+08,0.0017486
512,512,1,1.42199e+08,0.0018435
512,512,2,1.13566e+08,0.0023083
512,512,3,1.22457e+08,0.0021407
512,512,4,1.56813e+08,0.0016717
512,512,5,1.60805e+08,0.0016302
512,512,6,1.71527e+08,0.0015283
512,512,7,9.82365e+07,0.0026685
512,512,8,1.35272e+08,0.0019379
512,512,9,8.5946e+07,0.0030501
1024,1024,0,1.34204e+08,0.0078133
1024,1024,1,1.53345e+08,0.006838
1024,1024,2,1.39859e+08,0.0074974
1024,1024,3,1.41038e+08,0.0074347
1024,1024,4,1.482e+08,0.0070754
1024,1024,5,1.52184e+08,0.0068902
1024,1024,6,1.34597e+08,0.0077905
1024,1024,7,1.42037e+08,0.0073824
1024,1024,8,1.57745e+08,0.0066473
1024,1024,9,1.33689e+08,0.0078434
