N, M, Iteration, Cells/sec, Time_sec
32,32,0,1.16152e+06,0.0008816
32,32,1,1.54147e+06,0.0006643
32,32,2,3.36621e+06,0.0003042
32,32,3,780309,0.0013123
32,32,4,3.196e+06,0.0003204
32,32,5,3.25596e+06,0.0003145
32,32,6,3.29684e+06,0.0003106
32,32,7,3.31392e+06,0.000309
32,32,8,3.27995e+06,0.0003122
32,32,9,3.281e+06,0.0003121
64,64,0,5.38168e+06,0.0007611
64,64,1,8.3626e+06,0.0004898
64,64,2,9.17768e+06,0.0004463
64,64,3,2.94507e+06,0.0013908
64,64,4,7.31559e+06,0.0005599
64,64,5,1.4448e+07,0.0002835
64,64,6,1.37588e+07,0.0002977
64,64,7,1.26459e+07,0.0003239
64,64,8,1.34914e+07,0.0003036
64,64,9,1.35989e+07,0.0003012
128,128,0,2.44391e+07,0.0006704
128,128,1,2.88552e+07,0.0005678
128,128,2,3.67272e+07,0.0004461
128,128,3,1.25982e+07,0.0013005
128,128,4,3.87329e+07,0.000423
128,128,5,2.83951e+07,0.000577
128,128,6,3.97284e+07,0.0004124
128,128,7,4.44734e+07,0.0003684
128,128,8,4.65455e+07,0.000352
128,128,9,4.61911e+07,0.0003547
256,256,0,7.72011e+07,0.0008489
256,256,1,8.99355e+07,0.0007287
256,256,2,1.13091e+08,0.0005795
256,256,3,4.85992e+07,0.0013485
256,256,4,1.02753e+08,0.0006378
256,256,5,1.08936e+08,0.0006016
256,256,6,1.11304e+08,0.0005888
256,256,7,1.093e+08,0.0005996
256,256,8,8.15023e+07,0.0008041
256,256,9,7.21047e+07,0.0009089
512,512,0,1.25464e+08,0.0020894
512,512,1,1.47504e+08,0.0017772
512,512,2,1.27888e+08,0.0020498
512,512,3,1.20194e+08,0.002181
512,512,4,1.20993e+08,0.0021666
512,512,5,1.13056e+08,0.0023187
512,512,6,9.74223e+07,0.0026908
512,512,7,1.91248e+08,0.0013707
512,512,8,1.71023e+08,0.0015328
512,512,9,1.19135e+08,0.0022004
1024,1024,0,1.72157e+08,0.0060908
1024,1024,1,2.23144e+08,0.0046991
1024,1024,2,1.9726e+08,0.0053157
1024,1024,3,1.91955e+08,0.0054626
1024,1024,4,1.68373e+08,0.0062277
1024,1024,5,1.58789e+08,0.0066036
1024,1024,6,1.85957e+08,0.0056388
1024,1024,7,1.92237e+08,0.0054546
1024,1024,8,2.14433e+08,0.00489
1024,1024,9,1.61698e+08,0.0064848
