N, M, Iteration, Cells/sec, Time_sec
32,32,0,3.50613e+07,2.9206e-05
32,32,1,4.33018e+07,2.3648e-05
32,32,2,3.98909e+07,2.567e-05
32,32,3,4.23543e+07,2.4177e-05
32,32,4,4.3377e+07,2.3607e-05
32,32,5,4.39466e+07,2.3301e-05
32,32,6,4.5578e+07,2.2467e-05
32,32,7,4.55192e+07,2.2496e-05
32,32,8,4.56776e+07,2.2418e-05
32,32,9,4.63789e+07,2.2079e-05
32,32,10,4.58268e+07,2.2345e-05
32,32,11,4.64252e+07,2.2057e-05
32,32,12,4.64821e+07,2.203e-05
32,32,13,4.767e+07,2.1481e-05
32,32,14,4.6865e+07,2.185e-05
64,64,0,5.53573e+07,7.3992e-05
64,64,1,4.88258e+07,8.389e-05
64,64,2,4.98995e+07,8.2085e-05
64,64,3,5.06667e+07,8.0842e-05
64,64,4,5.04483e+07,8.1192e-05
64,64,5,5.09947e+07,8.0322e-05
64,64,6,4.43939e+07,9.2265e-05
64,64,7,4.38732e+07,9.336e-05
64,64,8,4.47528e+07,9.1525e-05
64,64,9,4.41013e+07,9.2877e-05
64,64,10,4.26467e+07,9.6045e-05
64,64,11,4.26267e+07,9.609e-05
64,64,12,4.24408e+07,9.6511e-05
64,64,13,4.2156e+07,9.7163e-05
64,64,14,4.1819e+07,9.7946e-05
128,128,0,3.62779e+07,0.000451625
128,128,1,3.75357e+07,0.000436491
128,128,2,3.89609e+07,0.000420524
128,128,3,4.14081e+07,0.000395671
128,128,4,4.0563e+07,0.000403915
128,128,5,4.04466e+07,0.000405077
128,128,6,4.06034e+07,0.000403513
128,128,7,4.117e+07,0.00039796
128,128,8,3.78931e+07,0.000432374
128,128,9,3.89337e+07,0.000420818
128,128,10,5.25559e+07,0.000311744
128,128,11,5.51464e+07,0.0002971
128,128,12,4.30331e+07,0.00038073
128,128,13,4.28924e+07,0.000381979
128,128,14,4.06254e+07,0.000403294
256,256,0,4.4319e+07,0.00147873
256,256,1,4.58003e+07,0.00143091
256,256,2,5.02906e+07,0.00130315
256,256,3,5.69763e+07,0.00115023
256,256,4,5.84934e+07,0.0011204
256,256,5,5.88309e+07,0.00111397
256,256,6,5.72814e+07,0.00114411
256,256,7,5.52218e+07,0.00118678
256,256,8,4.51148e+07,0.00145265
256,256,9,5.2549e+07,0.00124714
256,256,10,5.62521e+07,0.00116504
256,256,11,5.78043e+07,0.00113376
256,256,12,5.9383e+07,0.00110362
256,256,13,4.8673e+07,0.00134646
256,256,14,5.72214e+07,0.00114531
512,512,0,5.45864e+07,0.00480237
512,512,1,4.92784e+07,0.00531965
512,512,2,4.84994e+07,0.0054051
512,512,3,5.48882e+07,0.00477596
512,512,4,4.94569e+07,0.00530046
512,512,5,5.54751e+07,0.00472543
512,512,6,5.65913e+07,0.00463223
512,512,7,4.68303e+07,0.00559775
512,512,8,5.19777e+07,0.00504339
512,512,9,5.75662e+07,0.00455379
512,512,10,5.06739e+07,0.00517315
512,512,11,5.44211e+07,0.00481696
512,512,12,5.72613e+07,0.00457803
512,512,13,5.54832e+07,0.00472474
512,512,14,4.3282e+07,0.00605666
1024,1024,0,5.0242e+07,0.0208705
1024,1024,1,5.4322e+07,0.019303
1024,1024,2,4.58323e+07,0.0228786
1024,1024,3,5.10787e+07,0.0205286
1024,1024,4,5.43497e+07,0.0192931
1024,1024,5,5.21143e+07,0.0201207
1024,1024,6,5.39593e+07,0.0194327
1024,1024,7,5.40247e+07,0.0194092
1024,1024,8,4.94969e+07,0.0211847
1024,1024,9,5.34213e+07,0.0196284
1024,1024,10,5.38699e+07,0.019465
1024,1024,11,5.21598e+07,0.0201032
1024,1024,12,4.97558e+07,0.0210744
1024,1024,13,4.88467e+07,0.0214667
1024,1024,14,5.18306e+07,0.0202308
2048,2048,0,3.76659e+07,0.111355
2048,2048,1,5.21533e+07,0.0804226
2048,2048,2,5.25486e+07,0.0798177
2048,2048,3,5.12449e+07,0.0818483
2048,2048,4,5.32196e+07,0.0788112
2048,2048,5,5.30092e+07,0.079124
2048,2048,6,5.1657e+07,0.0811953
2048,2048,7,5.37907e+07,0.0779745
2048,2048,8,5.1357e+07,0.0816696
2048,2048,9,5.26204e+07,0.0797087
2048,2048,10,5.34225e+07,0.078512
2048,2048,11,5.0946e+07,0.0823285
2048,2048,12,5.1595e+07,0.0812929
2048,2048,13,5.15596e+07,0.0813487
2048,2048,14,5.23567e+07,0.0801102
4096,4096,0,5.31736e+07,0.315518
4096,4096,1,5.05736e+07,0.331738
4096,4096,2,5.32625e+07,0.314991
4096,4096,3,5.29783e+07,0.316681
4096,4096,4,5.25904e+07,0.319017
4096,4096,5,4.99022e+07,0.336202
4096,4096,6,5.37025e+07,0.312411
4096,4096,7,5.36124e+07,0.312935
4096,4096,8,5.32834e+07,0.314868
4096,4096,9,5.38108e+07,0.311782
4096,4096,10,5.35138e+07,0.313512
4096,4096,11,5.04354e+07,0.332647
4096,4096,12,5.26317e+07,0.318766
4096,4096,13,5.29079e+07,0.317102
4096,4096,14,5.34044e+07,0.314154
8192,8192,0,5.11542e+07,1.31189
8192,8192,1,5.09272e+07,1.31774
8192,8192,2,4.93178e+07,1.36074
8192,8192,3,5.28845e+07,1.26897
8192,8192,4,5.29979e+07,1.26625
8192,8192,5,5.03941e+07,1.33168
8192,8192,6,4.95981e+07,1.35305
8192,8192,7,5.05119e+07,1.32857
8192,8192,8,5.23791e+07,1.28121
8192,8192,9,5.28168e+07,1.2706
8192,8192,10,5.31359e+07,1.26297
