N, M, Iteration, Cells/sec, Time_sec
32,32,0,6.97548e+08,1.468e-06
32,32,1,1.35989e+09,7.53e-07
32,32,2,2.61893e+09,3.91e-07
32,32,3,2.59241e+09,3.95e-07
32,32,4,2.95101e+09,3.47e-07
32,32,5,3.16049e+09,3.24e-07
32,32,6,3.04762e+09,3.36e-07
32,32,7,3.61837e+09,2.83e-07
32,32,8,3.19003e+09,3.21e-07
32,32,9,3.43624e+09,2.98e-07
32,32,10,3.10303e+09,3.3e-07
32,32,11,3.65714e+09,2.8e-07
32,32,12,3.17028e+09,3.23e-07
32,32,13,3.39073e+09,3.02e-07
32,32,14,3.54325e+09,2.89e-07
64,64,0,1.00392e+10,4.08e-07
64,64,1,1.43217e+10,2.86e-07
64,64,2,1.67184e+10,2.45e-07
64,64,3,1.30863e+10,3.13e-07
64,64,4,1.66504e+10,2.46e-07
64,64,5,1.58147e+10,2.59e-07
64,64,6,1.61897e+10,2.53e-07
64,64,7,1.66504e+10,2.46e-07
64,64,8,1.64498e+10,2.49e-07
64,64,9,1.6126e+10,2.54e-07
64,64,10,1.67184e+10,2.45e-07
64,64,11,1.64498e+10,2.49e-07
64,64,12,1.6583e+10,2.47e-07
64,64,13,9.54779e+09,4.29e-07
64,64,14,6.70376e+09,6.11e-07
128,128,0,3.42046e+10,4.79e-07
128,128,1,3.05672e+10,5.36e-07
128,128,2,3.92902e+10,4.17e-07
128,128,3,3.81911e+10,4.29e-07
128,128,4,4.06551e+10,4.03e-07
128,128,5,2.06348e+10,7.94e-07
128,128,6,2.97891e+10,5.5e-07
128,128,7,4.44011e+10,3.69e-07
128,128,8,3.3166e+10,4.94e-07
128,128,9,5.18481e+10,3.16e-07
128,128,10,3.7492e+10,4.37e-07
128,128,11,4.16896e+10,3.93e-07
128,128,12,4.84734e+10,3.38e-07
128,128,13,3.24436e+10,5.05e-07
128,128,14,3.74064e+10,4.38e-07
256,256,0,1.70667e+11,3.84e-07
256,256,1,1.33475e+11,4.91e-07
256,256,2,1.37681e+11,4.76e-07
256,256,3,1.08503e+11,6.04e-07
