N, M, Iteration, Cells/sec, Time_sec
32,32,0,6.62354e+08,1.546e-06
32,32,1,1.38566e+09,7.39e-07
32,32,2,1.59502e+09,6.42e-07
32,32,3,2.00784e+09,5.1e-07
32,32,4,1.52608e+09,6.71e-07
32,32,5,1.19208e+09,8.59e-07
32,32,6,1.38192e+09,7.41e-07
32,32,7,1.2642e+09,8.1e-07
32,32,8,1.93573e+09,5.29e-07
32,32,9,1.5975e+09,6.41e-07
32,32,10,1.79021e+09,5.72e-07
32,32,11,2.00784e+09,5.1e-07
32,32,12,2.09836e+09,4.88e-07
32,32,13,2.14675e+09,4.77e-07
32,32,14,1.98066e+09,5.17e-07
64,64,0,8.34216e+09,4.91e-07
64,64,1,1.14734e+10,3.57e-07
64,64,2,5.37533e+09,7.62e-07
64,64,3,6.74794e+09,6.07e-07
64,64,4,6.93063e+09,5.91e-07
64,64,5,5.60328e+09,7.31e-07
64,64,6,6.95416e+09,5.89e-07
64,64,7,7.9534e+09,5.15e-07
64,64,8,8.41068e+09,4.87e-07
64,64,9,8.3252e+09,4.92e-07
64,64,10,7.71375e+09,5.31e-07
64,64,11,7.7283e+09,5.3e-07
64,64,12,8.62316e+09,4.75e-07
64,64,13,9.26697e+09,4.42e-07
64,64,14,8.64135e+09,4.74e-07
128,128,0,3.90095e+10,4.2e-07
128,128,1,4.80469e+10,3.41e-07
128,128,2,2.27556e+10,7.2e-07
128,128,3,3.07392e+10,5.33e-07
128,128,4,3.32333e+10,4.93e-07
128,128,5,3.00073e+10,5.46e-07
128,128,6,3.41333e+10,4.8e-07
128,128,7,3.46385e+10,4.73e-07
128,128,8,2.77225e+10,5.91e-07
128,128,9,2.04544e+10,8.01e-07
128,128,10,2.95207e+10,5.55e-07
128,128,11,3.50085e+10,4.68e-07
128,128,12,3.44926e+10,4.75e-07
128,128,13,3.15077e+10,5.2e-07
128,128,14,2.8947e+10,5.66e-07
256,256,0,1.03696e+11,6.32e-07
256,256,1,1.51353e+11,4.33e-07
256,256,2,2.25986e+11,2.9e-07
256,256,3,2.39182e+11,2.74e-07
256,256,4,2.40059e+11,2.73e-07
256,256,5,2.51096e+11,2.61e-07
256,256,6,2.42726e+11,2.7e-07
256,256,7,2.40941e+11,2.72e-07
256,256,8,2.15579e+11,3.04e-07
256,256,9,2.17728e+11,3.01e-07
256,256,10,2.35741e+11,2.78e-07
256,256,11,2.64258e+11,2.48e-07
256,256,12,2.65328e+11,2.47e-07
256,256,13,2.7081e+11,2.42e-07
256,256,14,2.59036e+11,2.53e-07
512,512,0,2.86496e+11,9.15e-07
512,512,1,6.68735e+11,3.92e-07
512,512,2,8.40205e+11,3.12e-07
512,512,3,1.03614e+12,2.53e-07
512,512,4,9.67321e+11,2.71e-07
512,512,5,1.06998e+12,2.45e-07
512,512,6,1.02002e+12,2.57e-07
512,512,7,1.05279e+12,2.49e-07
512,512,8,1.04025e+12,2.52e-07
512,512,9,1.08773e+12,2.41e-07
512,512,10,1.12027e+12,2.34e-07
512,512,11,1.12993e+12,2.32e-07
512,512,12,1.09227e+12,2.4e-07
512,512,13,1.00055e+12,2.62e-07
512,512,14,1.05703e+12,2.48e-07
1024,1024,0,4.35817e+11,2.406e-06
1024,1024,1,1.39438e+12,7.52e-07
1024,1024,2,2.13995e+12,4.9e-07
1024,1024,3,1.76231e+12,5.95e-07
1024,1024,4,1.91696e+12,5.47e-07
1024,1024,5,1.96731e+12,5.33e-07
