N, M, Iteration, Cells/sec, Time_sec
32,32,0,8.3252e+08,1.23e-06
32,32,1,1.31789e+09,7.77e-07
32,32,2,2.15126e+09,4.76e-07
32,32,3,2.22126e+09,4.61e-07
32,32,4,2.30112e+09,4.45e-07
32,32,5,2.38695e+09,4.29e-07
32,32,6,2.58586e+09,3.96e-07
32,32,7,2.3649e+09,4.33e-07
32,32,8,1.76552e+09,5.8e-07
32,32,9,2.61893e+09,3.91e-07
32,32,10,2.71618e+09,3.77e-07
32,32,11,2.09836e+09,4.88e-07
32,32,12,2.46747e+09,4.15e-07
32,32,13,2.1649e+09,4.73e-07
32,32,14,1.78087e+09,5.75e-07
64,64,0,1.17364e+10,3.49e-07
64,64,1,8.2915e+09,4.94e-07
64,64,2,7.38018e+09,5.55e-07
64,64,3,7.44727e+09,5.5e-07
64,64,4,7.9534e+09,5.15e-07
64,64,5,7.74291e+09,5.29e-07
64,64,6,7.42029e+09,5.52e-07
64,64,7,7.11111e+09,5.76e-07
64,64,8,6.71475e+09,6.1e-07
64,64,9,7.6848e+09,5.33e-07
64,64,10,7.96887e+09,5.14e-07
64,64,11,6.91892e+09,5.92e-07
64,64,12,8.39344e+09,4.88e-07
64,64,13,7.13589e+09,5.74e-07
64,64,14,8.51559e+09,4.81e-07
128,128,0,4.55111e+10,3.6e-07
128,128,1,5.07245e+10,3.23e-07
128,128,2,1.51423e+10,1.082e-06
128,128,3,2.44173e+10,6.71e-07
128,128,4,2.10591e+10,7.78e-07
128,128,5,2.74439e+10,5.97e-07
128,128,6,2.74899e+10,5.96e-07
128,128,7,3.02847e+10,5.41e-07
128,128,8,3.44926e+10,4.75e-07
128,128,9,2.92571e+10,5.6e-07
128,128,10,3.54632e+10,4.62e-07
128,128,11,3.3166e+10,4.94e-07
128,128,12,3.09132e+10,5.3e-07
128,128,13,3.35738e+10,4.88e-07
128,128,14,3.60881e+10,4.54e-07
256,256,0,1.40938e+11,4.65e-07
256,256,1,2.00416e+11,3.27e-07
256,256,2,8.61183e+10,7.61e-07
256,256,3,1.3055e+11,5.02e-07
256,256,4,1.26517e+11,5.18e-07
256,256,5,1.29518e+11,5.06e-07
256,256,6,1.1894e+11,5.51e-07
256,256,7,1.29008e+11,5.08e-07
256,256,8,1.27254e+11,5.15e-07
256,256,9,1.3029e+11,5.03e-07
256,256,10,1.40034e+11,4.68e-07
256,256,11,1.35405e+11,4.84e-07
256,256,12,1.27008e+11,5.16e-07
256,256,13,1.41241e+11,4.64e-07
256,256,14,9.36229e+10,7e-07
512,512,0,2.00723e+11,1.306e-06
512,512,1,4.33296e+11,6.05e-07
512,512,2,4.76625e+11,5.5e-07
512,512,3,4.35455e+11,6.02e-07
512,512,4,4.79239e+11,5.47e-07
512,512,5,3.45381e+11,7.59e-07
512,512,6,5.07048e+11,5.17e-07
512,512,7,5.09017e+11,5.15e-07
512,512,8,4.83661e+11,5.42e-07
512,512,9,5.20127e+11,5.04e-07
512,512,10,5.42741e+11,4.83e-07
512,512,11,5.28516e+11,4.96e-07
512,512,12,5.02192e+11,5.22e-07
512,512,13,4.96485e+11,5.28e-07
512,512,14,5.18071e+11,5.06e-07
1024,1024,0,3.31828e+11,3.16e-06
1024,1024,1,1.29294e+12,8.11e-07
1024,1024,2,2.74496e+12,3.82e-07
